Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,days_since_join,Age
Graduation,Married,38360.0,1,0,36,2,42,20,21,10,2,2,1,4,3,No,No,No,No,No,No,No,554,25
PhD,Married,84618.0,0,0,684,100,801,21,66,0,1,6,9,10,2,No,No,Yes,No,No,No,No,379,49
Master,Divorced,10979.0,0,0,8,4,10,2,2,4,2,3,0,3,5,No,No,No,No,No,No,No,198,25
Master,Together,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,No,No,No,No,No,No,No,396,51
Graduation,Together,40548.0,0,1,110,0,5,2,0,3,2,2,1,4,5,No,Yes,No,No,No,No,No,787,44
PhD,Divorced,46610.0,0,2,96,12,96,33,22,43,6,4,1,6,6,No,No,No,No,No,No,Yes,768,62
Master,Married,68657.0,0,0,482,34,471,119,68,22,1,3,5,9,7,No,No,No,No,No,No,No,654,68
Master,Single,49389.0,1,1,40,0,19,2,1,3,1,2,0,3,7,No,No,No,No,No,No,No,464,63
PhD,Married,67353.0,0,1,702,17,151,0,8,35,5,5,6,12,2,No,No,No,No,No,No,No,340,44
2n Cycle,Married,23718.0,1,0,6,3,14,15,7,36,3,3,1,2,7,No,No,No,No,No,No,No,665,38
Graduation,Widow,42429.0,0,1,55,0,6,2,0,4,2,1,1,3,5,No,No,No,No,No,No,No,34,41
PhD,Divorced,48948.0,0,0,437,8,206,160,49,42,2,7,10,5,6,Yes,No,No,No,No,No,Yes,703,71
Graduation,Married,80011.0,0,1,421,76,536,82,178,102,2,8,6,5,4,No,No,No,No,No,No,No,586,34
Master,Married,20559.0,1,0,13,1,29,3,0,7,2,2,0,3,8,No,No,No,No,No,No,No,368,29
Graduation,Together,21994.0,0,1,9,0,6,3,1,3,1,0,0,3,5,No,No,No,No,No,No,No,712,57
Master,Married,7500.0,1,0,3,1,10,3,2,12,3,2,0,3,5,No,No,No,No,No,No,No,664,39
Graduation,Single,79941.0,0,0,123,164,266,227,30,174,1,2,4,9,1,No,No,No,No,No,No,No,161,38
2n Cycle,Married,7500.0,0,0,3,18,14,15,22,50,3,3,1,3,9,No,No,No,No,No,No,Yes,816,18
Graduation,Together,41728.0,1,0,13,6,15,3,5,13,1,2,0,2,10,No,No,No,No,No,No,No,561,46
PhD,Married,72550.0,1,1,826,50,317,50,38,38,9,5,2,12,8,No,No,No,No,No,No,No,847,60
Graduation,Widow,65486.0,0,1,245,19,125,37,67,14,1,4,2,10,2,No,No,No,No,No,No,No,1,57
Master,Married,79143.0,0,0,650,37,780,27,167,32,1,6,9,13,3,No,No,No,No,No,No,No,758,50
Graduation,Single,35790.0,1,0,12,6,20,30,1,3,2,2,0,3,7,No,No,No,No,No,No,No,673,37
Graduation,Divorced,82582.0,0,0,510,120,550,156,40,241,1,4,9,7,1,Yes,No,No,Yes,No,No,Yes,153,37
Graduation,Married,66373.0,1,1,328,9,124,12,24,109,7,4,2,10,3,No,No,No,No,No,No,No,365,36
Master,Together,82384.0,0,0,984,51,432,180,120,190,1,3,10,13,1,No,No,Yes,No,No,No,Yes,747,59
Graduation,Divorced,70287.0,0,0,295,35,482,121,120,40,1,5,5,10,3,No,No,No,No,No,No,Yes,670,48
Graduation,Single,27938.0,1,0,13,0,8,2,1,5,1,1,0,4,3,No,No,No,No,No,No,No,222,26
PhD,Married,55954.0,0,1,447,0,28,0,0,43,3,8,2,6,7,No,No,No,No,No,No,No,278,46
Master,Single,75777.0,0,0,712,26,538,69,13,80,1,3,6,11,1,No,Yes,Yes,No,No,No,Yes,608,32
Graduation,Together,66653.0,1,1,452,18,102,16,18,6,4,4,2,12,3,No,No,No,No,No,No,No,880,39
Graduation,Single,61823.0,0,1,523,7,134,37,14,169,4,8,2,10,7,No,No,No,No,No,No,No,656,62
PhD,Widow,67680.0,0,1,546,0,48,0,6,6,1,7,3,8,5,No,No,No,No,No,No,No,395,63
Graduation,Together,70666.0,0,0,398,40,367,119,122,30,1,7,4,4,4,No,No,No,No,No,No,No,542,66
Graduation,Married,25721.0,1,0,1,3,6,3,6,15,1,1,1,2,7,No,No,No,No,No,No,Yes,564,43
Graduation,Together,32474.0,1,1,10,0,1,0,0,0,1,1,0,2,7,No,No,No,No,No,No,No,31,47
2n Cycle,Single,88194.0,0,1,688,14,309,201,24,38,1,11,10,10,5,Yes,No,No,Yes,No,No,Yes,262,35
Graduation,Together,69096.0,0,1,247,49,159,7,82,109,1,5,2,10,4,No,No,No,No,No,No,No,435,56
Graduation,Together,74854.0,1,2,856,59,487,58,29,73,7,2,5,5,5,No,No,No,No,No,No,No,489,44
Master,Married,66991.0,0,0,496,36,460,189,60,12,3,4,8,6,3,No,No,No,No,No,No,No,757,60
Graduation,Married,65031.0,0,1,258,107,291,84,37,86,4,10,3,13,7,No,No,No,No,No,No,No,629,55
PhD,Married,60631.0,1,1,565,6,65,0,6,19,5,9,2,8,7,No,Yes,No,No,No,No,No,581,39
Graduation,Married,28332.0,0,0,14,10,13,4,15,9,1,2,1,4,2,No,No,No,No,No,No,No,220,62
Graduation,Divorced,40246.0,1,0,2,1,6,2,1,1,1,1,0,2,6,No,No,No,No,No,No,No,717,37
Master,Married,75251.0,0,0,721,111,925,97,18,18,1,7,6,5,5,No,No,No,No,No,No,Yes,831,42
Graduation,Single,75825.0,0,0,1032,105,779,137,105,51,0,5,8,9,4,Yes,No,No,No,No,No,Yes,726,38
2n Cycle,Together,26326.0,0,0,1,0,5,0,3,9,1,0,0,3,3,No,No,No,No,No,Yes,No,606,38
Graduation,Together,56046.0,0,0,577,0,64,0,0,51,2,10,1,8,8,Yes,No,No,No,No,No,Yes,673,49
Graduation,Single,29760.0,1,0,64,4,68,7,5,17,4,3,1,4,8,No,No,No,No,No,No,No,829,29
Graduation,Married,26304.0,1,0,4,1,5,2,0,4,1,1,0,2,7,No,No,No,No,No,No,No,531,45
2n Cycle,Married,23559.0,1,0,25,5,19,7,0,23,3,3,0,3,7,No,No,No,No,No,No,No,639,41
Master,Together,38620.0,0,0,112,17,44,34,22,89,1,2,5,3,3,No,No,No,No,No,No,No,396,51
Graduation,Divorced,81361.0,0,0,163,23,424,27,65,76,1,3,10,13,1,No,No,No,No,No,No,No,284,27
Graduation,Married,29440.0,1,1,17,8,14,10,4,3,2,1,0,4,7,No,No,No,No,No,No,No,393,54
Master,Married,36138.0,1,1,130,0,16,0,0,5,5,3,1,4,7,No,Yes,No,No,No,No,No,508,44
Graduation,Single,50388.0,0,1,292,6,37,0,3,34,4,6,1,6,7,No,Yes,No,Yes,No,No,Yes,192,57
Graduation,Married,79593.0,0,0,350,60,568,110,133,145,1,5,6,7,2,No,No,Yes,No,No,No,No,1,41
Graduation,Together,54178.0,0,1,135,9,39,4,0,7,1,2,2,5,2,No,No,No,No,No,No,No,319,47
Master,Single,42394.0,1,0,15,2,10,0,1,4,1,1,0,3,7,No,No,No,No,No,No,No,258,42
PhD,Married,23626.0,1,0,27,2,14,0,0,0,3,3,1,3,5,No,No,No,No,No,No,No,196,44
Graduation,Married,30096.0,1,0,5,3,11,12,5,9,1,2,0,3,6,No,No,No,No,No,No,No,198,31
Graduation,Widow,47916.0,0,1,505,0,26,0,0,75,5,7,4,6,6,No,Yes,No,No,No,No,No,744,54
Graduation,Divorced,51813.0,1,1,51,2,7,0,1,2,2,2,0,3,7,No,No,No,No,No,No,No,397,42
2n Cycle,Married,78497.0,0,0,207,26,447,75,0,223,1,5,7,12,2,No,No,No,Yes,No,No,No,693,63
PhD,Married,50150.0,0,0,135,46,92,65,61,11,2,5,2,7,5,No,No,No,No,No,No,No,534,31
2n Cycle,Single,47823.0,0,1,53,1,5,2,1,10,2,2,0,3,8,No,No,No,No,No,No,No,501,54
PhD,Single,34554.0,0,1,41,1,6,2,0,5,2,2,0,3,6,No,No,No,No,No,No,No,251,55
Graduation,Together,85693.0,0,1,386,172,183,185,132,111,2,9,5,11,5,No,No,No,No,No,No,No,595,35
PhD,Married,65846.0,0,0,562,81,276,80,40,81,1,6,3,6,4,No,No,No,No,No,No,No,568,69
Graduation,Married,87195.0,0,0,217,76,690,50,26,38,1,3,11,5,1,No,No,No,No,No,No,Yes,123,55
Basic,Together,24594.0,1,0,1,3,6,10,0,9,1,1,0,3,5,No,No,No,No,No,No,No,420,35
Graduation,Married,49096.0,1,1,144,1,32,2,1,7,4,4,1,4,7,No,No,No,No,No,No,No,438,50
Graduation,Married,52413.0,0,2,295,106,271,75,98,65,4,6,4,12,6,No,No,No,No,No,No,No,672,45
Graduation,Single,38557.0,1,0,76,3,31,4,4,27,2,3,1,3,7,No,No,No,No,No,No,No,717,36
Master,Married,89058.0,0,0,454,194,106,31,22,43,1,5,4,4,2,No,No,No,No,No,No,No,877,54
Graduation,Together,77298.0,0,1,425,115,292,23,35,79,1,6,6,11,3,No,No,No,No,No,No,No,663,35
PhD,Single,68126.0,0,0,1332,17,311,23,51,86,1,7,4,5,9,No,Yes,No,No,No,No,Yes,786,23
Master,Together,57288.0,0,1,527,0,21,0,0,60,3,8,1,8,6,No,Yes,No,No,No,No,No,164,51
Graduation,Single,86037.0,0,0,490,44,125,29,20,22,1,6,7,11,3,No,Yes,Yes,No,No,No,Yes,673,23
PhD,Married,43974.0,1,0,378,0,101,0,0,72,5,6,4,6,7,No,No,No,No,No,No,No,724,34
Graduation,Single,50785.0,1,1,64,1,21,0,1,27,2,2,1,3,6,No,No,No,No,No,No,No,423,52
Graduation,Married,90765.0,0,0,547,99,812,151,82,33,0,4,6,5,1,No,No,Yes,Yes,No,No,No,316,44
2n Cycle,Married,36550.0,1,0,47,90,94,123,103,120,5,9,1,5,9,No,No,No,No,No,No,No,655,36
2n Cycle,Together,30753.0,1,1,12,5,25,0,9,30,2,1,1,3,5,No,No,No,No,No,No,No,394,47
Graduation,Together,21918.0,1,0,1,6,7,11,5,3,2,2,0,3,6,No,No,No,No,No,No,No,387,45
Master,Together,56129.0,0,1,320,48,133,39,72,48,4,6,2,10,4,No,No,No,No,No,No,No,534,61
Master,Single,32557.0,1,0,34,3,29,0,4,10,3,2,1,3,5,No,No,No,No,No,No,Yes,285,47
Master,Married,19510.0,2,0,9,0,7,3,4,7,2,1,0,3,7,No,No,No,No,No,No,No,606,29
Graduation,Divorced,30992.0,1,0,17,0,14,7,3,2,1,1,0,3,7,No,No,No,No,No,No,No,593,38
Graduation,Single,101970.0,0,0,722,27,102,44,72,168,0,6,8,13,2,No,Yes,Yes,Yes,No,No,Yes,368,31
2n Cycle,Together,71488.0,0,0,162,33,124,40,28,172,2,3,4,7,1,No,No,No,No,No,No,No,656,49
Graduation,Single,79607.0,0,0,450,133,951,173,0,216,1,3,6,6,1,No,No,No,No,No,No,Yes,594,30
Master,Married,54348.0,1,1,70,0,16,0,0,4,2,2,0,4,6,No,No,No,No,No,No,No,122,61
PhD,Together,77376.0,1,1,492,19,110,16,12,12,4,6,3,10,4,No,No,No,No,No,No,No,62,58
Graduation,Married,62998.0,0,1,120,58,73,65,89,58,5,5,4,5,5,No,No,No,No,No,No,No,432,62
Master,Single,61331.0,1,1,534,5,47,0,5,41,5,11,1,6,8,No,No,No,No,No,No,No,429,56
Graduation,Married,73448.0,0,0,236,106,189,23,41,130,1,7,2,9,4,No,No,No,No,No,No,No,65,45
PhD,Married,41551.0,1,1,220,0,33,3,0,23,5,5,1,5,8,No,No,No,No,No,No,No,479,50
PhD,Together,62981.0,0,0,796,14,590,38,44,0,1,4,5,13,3,No,Yes,No,No,No,No,No,629,47
Basic,Divorced,9548.0,1,0,0,1,3,10,6,9,2,1,0,3,8,No,No,No,No,No,No,No,850,38
PhD,Married,33762.0,2,1,53,1,34,2,0,16,3,2,2,2,8,No,No,No,No,No,No,No,517,55
PhD,Single,35860.0,1,1,15,0,8,4,2,20,2,1,1,2,5,Yes,No,No,No,No,No,Yes,201,41
PhD,Divorced,36921.0,1,1,17,1,12,3,1,4,2,2,0,3,7,No,No,No,No,No,No,No,496,49
Master,Single,92859.0,0,0,962,61,921,52,61,20,1,5,4,12,2,No,No,No,No,No,No,No,778,22
Master,Together,65104.0,0,1,738,0,232,13,20,50,2,3,5,7,7,No,No,No,No,No,No,Yes,387,38
Graduation,Married,86111.0,0,0,399,28,756,36,40,126,1,5,7,10,2,No,No,No,No,No,No,No,596,52
PhD,Single,68352.0,0,1,614,16,132,43,33,33,3,8,5,9,6,No,No,No,No,No,No,No,465,40
Graduation,Together,41883.0,1,0,32,34,41,73,16,116,3,4,2,3,7,No,No,No,No,No,No,No,627,26
Graduation,Married,59809.0,0,2,598,16,141,32,41,49,3,3,3,6,8,No,No,No,No,No,No,No,779,38
Graduation,Married,23957.0,1,0,2,1,18,20,11,16,1,2,0,3,6,No,No,No,No,No,No,Yes,769,39
Graduation,Together,38547.0,1,0,6,1,10,0,1,4,1,1,0,2,8,No,No,No,No,No,Yes,No,465,33
2n Cycle,Married,35688.0,2,1,73,3,90,12,1,32,7,4,1,4,8,No,No,No,No,No,No,No,836,41
Master,Married,49605.0,0,0,42,16,29,12,20,8,1,2,1,4,3,No,No,No,No,No,No,No,168,48
Master,Married,59354.0,0,2,295,21,78,39,13,13,1,4,4,7,3,No,No,No,No,No,No,No,226,61
Graduation,Married,65747.0,0,1,346,17,48,23,13,13,4,8,1,6,6,No,Yes,No,No,No,No,No,156,45
2n Cycle,Together,46344.0,0,1,233,20,57,8,20,91,4,7,1,5,7,No,No,No,No,No,No,No,722,42
Graduation,Single,34176.0,1,0,5,7,24,19,14,20,4,3,0,4,6,No,No,No,No,No,No,No,1,26
PhD,Together,61010.0,0,1,888,0,57,0,0,76,2,8,5,11,5,No,No,No,No,No,No,No,817,62
Graduation,Together,69372.0,0,0,997,26,269,34,13,42,1,10,4,6,4,No,Yes,Yes,No,No,No,Yes,655,65
Graduation,Single,49967.0,0,1,212,6,69,4,12,3,3,6,1,5,7,No,No,No,No,No,No,No,486,56
Graduation,Single,60199.0,1,2,8,1,7,2,0,0,1,0,0,3,4,No,No,No,No,No,No,No,362,36
Graduation,Together,55375.0,0,1,42,11,57,10,28,14,1,1,1,6,2,No,No,No,No,No,No,No,415,37
Graduation,Single,80317.0,0,0,536,11,387,149,91,57,1,3,4,10,1,No,No,No,No,No,No,No,473,59
Master,Single,30523.0,2,1,5,0,3,0,0,5,1,1,0,2,7,No,No,No,No,No,No,No,698,56
PhD,Married,70356.0,0,0,1349,16,249,43,16,33,2,10,6,9,6,No,No,No,No,No,No,No,939,69
Graduation,Married,23228.0,1,0,53,3,49,7,4,5,4,3,0,4,8,No,No,No,No,No,No,No,219,30
PhD,Divorced,74165.0,0,0,1001,12,240,16,12,12,1,5,4,10,2,No,No,No,No,No,No,No,700,39
PhD,Married,157243.0,0,1,20,2,1582,1,2,1,15,0,22,0,0,No,No,No,No,No,No,No,337,41
Graduation,Together,43482.0,2,1,18,1,32,6,3,28,3,2,0,4,6,No,No,No,No,No,No,No,388,48
Graduation,Divorced,62551.0,0,0,125,16,98,134,21,27,1,6,7,4,3,Yes,No,No,No,No,No,No,383,61
Graduation,Divorced,52332.0,0,0,212,5,33,7,0,2,1,3,2,6,4,No,Yes,No,No,No,No,No,465,55
Graduation,Single,66951.0,0,0,277,162,305,173,76,124,1,3,4,7,1,No,No,No,No,No,No,No,663,26
Graduation,Together,26091.0,1,1,15,10,19,8,17,20,3,2,1,3,5,No,No,No,No,No,No,No,284,57
Graduation,Together,33456.0,1,1,7,3,10,8,1,7,2,1,0,3,7,No,No,No,No,No,No,No,229,49
Graduation,Married,28718.0,1,0,12,4,6,11,8,16,2,2,0,3,8,No,No,No,No,No,No,No,511,32
Graduation,Married,50447.0,2,0,85,7,24,2,3,27,1,3,1,3,6,No,No,No,No,No,No,No,229,44
PhD,Together,53537.0,1,1,81,0,6,0,0,6,2,2,1,3,5,No,No,No,No,No,No,No,310,55
Graduation,Single,52074.0,0,1,59,0,12,0,0,48,1,2,2,2,4,Yes,No,No,No,No,No,No,246,47
PhD,Married,80427.0,0,1,1149,71,449,69,71,26,1,11,8,8,5,No,No,No,No,No,No,No,727,39
PhD,Married,83837.0,0,0,847,66,119,86,89,111,1,9,10,5,4,No,Yes,No,Yes,No,No,Yes,720,66
PhD,Married,38853.0,1,1,29,0,14,0,0,2,2,2,0,3,7,No,No,No,No,No,No,No,197,44
Graduation,Together,38285.0,2,1,2,0,5,2,0,1,1,0,0,3,2,No,No,No,No,No,No,No,165,55
2n Cycle,Married,78497.0,0,0,207,26,447,75,0,223,1,5,7,12,2,No,No,No,Yes,No,No,No,693,63
PhD,Married,51650.0,0,1,152,3,22,2,5,7,1,4,1,4,5,No,No,No,No,No,No,No,31,38
2n Cycle,Married,16248.0,1,0,12,11,10,3,12,9,3,2,1,3,6,No,No,No,No,No,No,No,62,26
Master,Married,66835.0,0,0,620,26,195,34,17,141,1,6,4,13,2,No,No,No,No,No,No,No,434,68
Master,Married,30477.0,1,0,47,1,6,0,0,12,1,1,1,3,6,No,No,No,No,No,No,No,318,30
Basic,Married,28249.0,0,0,1,9,7,2,14,10,1,2,0,3,6,No,No,No,No,No,No,No,174,53
Graduation,Married,25271.0,1,0,10,1,18,10,4,7,1,1,1,2,9,No,No,No,No,No,No,No,938,31
PhD,Single,32303.0,0,1,35,0,2,0,0,2,2,1,0,4,5,No,No,No,No,No,No,No,125,44
Graduation,Married,61286.0,0,1,356,0,107,19,9,117,2,7,1,8,5,No,No,No,No,No,No,No,666,48
Graduation,Married,74068.0,0,0,783,30,537,140,76,15,1,4,10,9,2,No,No,No,No,No,No,No,627,38
PhD,Married,45759.0,1,1,42,1,18,3,0,4,2,2,0,3,7,No,No,No,No,No,No,No,651,50
Basic,Together,24882.0,1,0,1,4,10,29,0,36,1,1,1,2,6,Yes,No,No,No,No,No,No,818,36
PhD,Together,66973.0,0,0,466,22,432,147,113,102,1,8,7,12,3,No,No,No,No,No,No,No,568,25
Graduation,Married,38872.0,1,0,23,3,21,3,19,22,2,3,0,3,8,No,No,No,No,No,No,No,555,26
Graduation,Married,51148.0,1,1,235,6,45,8,9,12,4,5,1,6,6,No,No,No,No,No,No,No,656,41
Graduation,Married,31353.0,1,1,10,0,10,3,1,7,2,1,1,2,8,No,No,No,No,No,No,No,342,37
Master,Married,69661.0,0,0,656,16,106,32,16,8,1,7,3,12,3,No,No,No,No,No,No,No,207,34
Graduation,Married,80067.0,0,0,519,17,813,27,173,51,1,4,6,6,2,No,No,Yes,No,No,No,No,443,60
Graduation,Married,86718.0,0,0,344,189,482,50,33,172,1,5,6,5,2,No,No,No,No,No,No,No,688,60
PhD,Single,46854.0,1,1,96,1,79,7,1,79,6,5,1,3,8,Yes,No,No,No,No,No,Yes,250,41
Graduation,Divorced,69142.0,0,1,448,4,34,6,4,39,3,8,1,7,5,No,Yes,No,No,No,No,No,160,62
Graduation,Single,75922.0,0,0,265,138,553,224,23,92,1,4,4,9,1,No,No,No,No,No,No,No,450,46
Graduation,Divorced,63693.0,0,1,587,43,337,42,87,54,3,11,6,9,6,No,No,No,No,No,No,No,418,36
PhD,Together,102160.0,0,0,763,29,138,76,176,58,0,7,9,10,4,No,Yes,Yes,Yes,No,No,Yes,1029,37
PhD,Single,40637.0,1,1,22,0,13,0,0,3,2,1,0,3,7,No,No,No,No,No,No,No,507,49
Master,Single,18890.0,0,0,6,4,1,7,2,15,1,0,1,2,6,Yes,No,No,No,No,No,Yes,786,30
Graduation,Together,29604.0,1,0,7,6,13,7,6,14,1,1,0,3,9,Yes,No,No,No,No,No,No,481,26
Master,Divorced,48721.0,1,1,81,18,113,47,13,21,6,4,2,5,6,No,No,No,No,No,No,No,572,51
Graduation,Married,44794.0,0,1,54,0,7,0,0,4,1,2,0,3,6,No,No,No,No,No,No,No,122,48
Graduation,Divorced,64497.0,0,1,1170,48,320,42,32,192,5,11,4,9,8,Yes,No,No,No,No,No,Yes,788,60
Graduation,Together,46097.0,0,1,72,24,68,65,4,8,5,3,1,6,4,No,No,No,No,No,No,No,615,58
Graduation,Together,77972.0,0,0,613,22,319,33,102,12,1,4,6,9,1,No,No,No,No,No,No,No,263,60
PhD,Married,44377.0,1,1,224,0,30,0,0,10,8,5,1,5,8,No,No,No,No,No,No,No,940,46
Master,Together,46014.0,1,1,410,0,59,19,9,44,10,7,1,8,7,No,No,No,No,No,No,No,684,40
Graduation,Married,70951.0,0,0,239,10,554,254,87,54,1,3,4,9,1,No,No,No,No,No,No,No,610,29
Graduation,Married,41443.0,1,0,171,7,171,25,19,89,6,8,1,5,8,No,No,No,No,No,No,No,336,37
2n Cycle,Single,52195.0,2,1,12,0,4,0,0,1,1,1,0,2,8,No,No,No,No,No,No,No,1,36
Master,Married,83790.0,0,0,1076,16,417,42,48,16,1,8,10,6,3,No,Yes,Yes,No,No,No,No,386,66
Master,Widow,44551.0,0,1,182,4,33,0,0,66,2,4,1,5,7,No,No,No,No,No,No,No,462,60
Graduation,Together,69508.0,1,0,824,32,162,42,32,43,2,11,4,11,6,No,No,No,No,No,No,No,752,34
2n Cycle,Together,45204.0,1,0,30,11,25,29,1,18,1,1,1,4,3,No,No,No,No,No,No,No,32,26
Graduation,Married,72460.0,0,0,377,10,540,80,30,10,1,3,5,7,1,No,No,No,No,No,No,No,387,45
PhD,Together,77622.0,0,2,520,7,154,19,0,14,2,6,3,11,3,No,No,No,No,No,No,No,236,44
PhD,Married,30732.0,1,0,155,1,25,0,1,3,4,4,1,4,8,No,No,No,No,No,No,No,584,34
Graduation,Divorced,63887.0,0,1,897,23,207,15,11,92,5,9,6,12,6,No,No,No,No,No,No,No,849,52
Graduation,Together,42011.0,1,0,131,0,16,2,1,39,4,3,1,4,8,No,No,No,No,No,No,No,620,36
Graduation,Together,51369.0,0,1,297,7,79,0,11,182,2,8,2,4,8,No,No,No,No,No,No,No,772,38
Graduation,Divorced,51537.0,0,1,787,20,204,0,0,92,3,2,2,11,8,No,No,No,No,No,No,No,815,62
PhD,Married,79930.0,0,0,792,86,740,67,51,17,1,3,5,8,2,No,No,No,No,No,No,No,850,42
PhD,Together,34320.0,1,0,4,1,9,3,0,0,1,1,0,2,8,No,No,No,No,No,No,No,293,28
Graduation,Single,37070.0,1,1,231,7,137,4,15,39,9,5,1,8,7,No,No,No,No,No,No,Yes,626,48
2n Cycle,Divorced,81975.0,0,1,983,76,184,180,138,27,1,6,3,4,7,No,No,Yes,No,No,No,No,584,52
Graduation,Together,38590.0,1,0,3,1,8,4,3,3,1,1,0,2,8,No,No,No,No,No,No,No,570,43
Graduation,Single,15033.0,0,0,0,4,5,6,0,4,1,1,0,3,3,No,No,No,No,No,No,No,234,63
PhD,Married,62745.0,0,1,562,21,464,28,10,32,3,7,8,11,5,No,No,No,No,No,No,No,623,49
2n Cycle,Married,22212.0,1,0,5,9,20,6,8,21,2,2,0,4,6,No,No,No,No,No,No,No,450,39
Master,Together,23661.0,1,0,18,0,4,0,0,1,1,1,0,3,7,No,No,No,No,No,No,No,603,32
PhD,Single,79761.0,0,1,415,5,124,15,35,11,1,5,2,11,3,No,No,No,No,No,No,No,605,56
Graduation,Single,7500.0,1,0,5,3,10,12,7,20,4,3,1,3,7,No,No,No,No,No,No,No,345,41
Graduation,Widow,73455.0,0,0,901,61,757,186,163,20,1,6,5,10,3,No,Yes,No,No,No,No,No,404,46
Graduation,Together,64961.0,0,1,382,114,276,75,124,38,2,6,4,4,3,No,No,No,No,No,No,No,713,56
Graduation,Single,22804.0,1,0,14,1,7,2,1,1,1,2,0,2,9,No,No,No,No,No,No,No,493,43
Graduation,Married,73687.0,0,0,559,153,503,218,13,181,1,3,9,9,2,No,No,No,Yes,No,No,Yes,373,24
Graduation,Married,61074.0,0,1,789,0,133,0,28,152,7,11,5,8,7,No,No,No,No,No,No,No,841,56
PhD,Married,31686.0,1,1,11,0,5,0,0,1,2,1,0,3,6,No,No,No,No,No,No,No,214,50
Graduation,Married,80134.0,1,0,1218,16,272,104,0,80,2,5,3,6,6,No,Yes,Yes,Yes,No,No,Yes,565,42
Graduation,Married,75027.0,0,1,925,64,179,133,12,77,2,9,4,6,5,No,No,No,No,No,No,No,461,61
PhD,Married,67546.0,0,0,864,134,768,150,38,172,1,4,10,5,3,No,No,No,No,No,No,No,827,26
